EL. NUMBER,S,BETX_PYAT,BETY_PYAT,DX_PYAT,DY_PYAT
63,351.8934190316061,120.40474485171723,78.3938592194277,1.0794887454684698e-05,-1.1829566780519105e-07
64,380.46809250349605,30.353613990707633,96.30661758418081,0.03303491398534477,0.0023113648769769934
65,380.7680925034962,29.87721597303539,96.60700669033913,0.03372837741079177,0.0023113648769769934
66,382.5680925034962,28.414222735070897,94.42095141061829,0.038626442802523205,0.0031494706858959517
67,382.86809250349614,28.394471920433627,93.4046116433286,0.03957135765363888,0.0031494706858959517
68,392.3006242177746,31.00955608297577,65.23162566019154,0.06928115539792122,0.0031494707020388204
69,392.6006242177747,31.195651474556186,64.45589177197779,0.07022607025388047,0.0031494707020388204
70,394.4006242177747,30.899895987946174,63.0234559727563,0.07413214672812662,0.001172503741313211
71,394.7006242177746,30.617237772392215,63.31196761674891,0.074483925169153,0.001172503741313211
72,403.17833528765874,25.586303529128674,72.91566532190924,0.08444380653930013,0.0011769766293431916
73,403.47833528765887,25.51290330836212,73.306844053451,0.08479692695214465,0.0011769766293431916
74,405.2783352876589,26.93978229079182,70.85939673547472,0.08977188155205552,0.004380890307091994
75,422.688190002552,80.1146798652537,22.886785445508654,0.16604849012139572,0.004380890307091994
76,422.688190002552,80.1146798652537,22.886785445508654,0.16604849012139572,0.004380890307091994
77,422.988190002552,81.39753039072701,22.430365481547806,0.16736285965207467,0.004380890307091994
78,424.388190002552,87.54837034927525,20.466252826179076,0.17349658313339927,0.004380888867443669
79,424.488190002552,87.9980650498763,20.33641161931224,0.1739347061663163,0.004380888867443669
80,425.888190002552,94.43867657094812,18.66497045861312,0.18006842754948965,0.0043808873092387145
81,426.188190002552,95.85399415563614,18.342343164262825,0.18138279618074246,0.0043808873092387145
82,429.088190002552,95.85330333963577,18.340813897452765,0.18101418880701298,-0.004632052542153507
83,429.388190002552,94.43785073809195,18.6631075665521,0.1796244646078185,-0.004632052542153507
84,452.89329081955424,22.147978346101524,82.89171594988468,0.0980814427598049,-0.002305836136148679
85,456.3932908195543,17.905958803324335,99.03951502233981,0.0900103454392367,-0.002305836136148679
86,458.1932908195543,17.906506798161853,99.04078245804534,0.08978543609682832,0.002054127514935231
87,458.49329081955426,18.20405156286118,97.59022060855904,0.09040172602287123,0.002054127514935231
88,481.9983916365565,80.13728726543621,22.89563601125898,0.16603159875935447,0.004380383810543896
89,485.4983916365565,95.88307933354741,18.353956217778748,0.18136431583904086,0.004380383810543896
90,488.3983916365565,95.88378456198576,18.35548556149431,0.18099572882618467,-0.00463153639498378
91,488.6983916365565,94.46802276987944,18.678266983109122,0.17960614451389903,-0.00463153639498378
92,512.2034924535587,22.1560497789773,82.94078177272543,0.0980743889793174,-0.0023053199827072915
93,515.7034924535587,17.911098222649237,99.09290167252368,0.09000501489515393,-0.0023053199827072915
94,517.5034924535587,17.910551750997698,99.09163424598508,0.08978077131098817,0.002054352440331933
95,517.8034924535585,18.20796605807861,97.63989558807924,0.09039713709973664,0.002054352440331933
96,541.3085932705608,80.11648234821611,22.88729723644066,0.16603325986915357,0.004380608736756099
97,541.6085932705607,81.39936082613174,22.43086726649155,0.16734757644115125,0.004380608736756099
98,543.0085932705607,87.55033665932741,20.46671110244738,0.17348105469620034,0.004380610073272793
99,543.1085932705607,88.00004143361875,20.33686698633948,0.17391916035386498,0.004380610073272793
100,544.5085932705607,94.44079943162018,18.66538791676361,0.18005264058880338,0.004380611566092818
101,544.8085932705608,95.8561497010354,18.342753203054617,0.1813669580096887,0.004380611566092818
102,547.7085932705608,95.85546701818079,18.341221942336396,0.18099896834742502,-0.004631354111743757
103,548.0085932705607,94.43998331986533,18.663522595801684,0.1796094216822966,-0.004631354111743757
104,571.513694087563,22.148504740370857,82.89354452917642,0.09808092203654797,-0.0023051376991543157
105,571.8136940875629,21.718646923396335,84.21079898086984,0.09738930686446054,-0.0023051376991543157
106,573.2136940875629,19.8768784967538,90.52379468958483,0.09416175933078105,-0.0023051519608316153
107,573.3136940875629,19.755674522625213,90.98517327379912,0.09393121951376476,-0.0023051519608316153
108,574.7136940875629,18.203732210313746,97.59077960231437,0.09070365252014788,-0.0023051654985247407
109,575.0136940875628,17.906366553568116,99.04179784152095,0.0900120290073565,-0.0023051654985247407
110,576.8136940875628,17.906893691503505,99.04316067026312,0.08978832479935427,0.0020548113304894723
111,577.1136940875627,18.204441469726476,97.59257998226276,0.09040483456791878,0.0020548113304894723
112,600.618794904565,80.13862654637406,22.896699757738567,0.16605254452125828,0.004381067625557513
113,604.118794904565,95.8846804372325,18.354857519876244,0.18138800881598957,0.004381067625557513
114,607.018794904565,95.88538693844058,18.35638021415343,0.18101996130763978,-0.004631842739710172
115,607.3187949045649,94.46960172996823,18.679173803107826,0.17963025188386775,-0.004631842739710172
116,630.8238957215672,22.156494759690016,82.94275928078262,0.09808930624573237,-0.0023056263327816216
117,634.3238957215672,17.911492689369812,99.0950584419369,0.09001865487747984,-0.0023056263327816216
118,636.1238957215671,17.910966944438677,99.09369562123096,0.08979434899443568,0.0020546084412001366
119,636.423895721567,18.20839154025823,97.64191076928687,0.09041080331619564,0.0020546084412001366
120,659.9289965385692,80.11872891252453,22.887259322771083,0.16605447512805935,0.004380864733386694
121,663.4289965385692,95.85883361909548,18.34267523429227,0.18138938371316982,0.004380864733386694
122,666.3289965385692,95.85814138490831,18.34115245790825,0.1810208041887836,-0.004631999740076679
123,666.6289965385691,94.44261708700293,18.66345562308291,0.17963103357829124,-0.004631999740076679
124,690.1340973555714,22.1490210853779,82.89530923108329,0.09808560004671453,-0.0023057833332142084
125,690.4340973555713,21.719149818344643,84.21260792743306,0.09739377655823275,-0.0023057833332142084
126,691.8340973555713,19.87733212461593,90.52577828857152,0.09416527801461987,-0.0023057677364647666
127,691.9340973555713,19.75612550827789,90.98716690049321,0.09393467174500107,-0.0023057677364647666
128,693.3340973555713,18.20415725191407,97.59287640512035,0.09070619408843492,-0.002305753489240217
129,693.6340973555714,17.90678834986429,99.04390844007867,0.09001437955429477,-0.002305753489240217
130,695.4340973555713,17.907337574853408,99.04516938901381,0.0897896112035122,0.0020542139264218013
131,695.7340973555712,18.204896229183912,97.59454219562913,0.09040595466306335,0.0020542139264218013
132,719.2391981725734,80.1409167897634,22.896619459128278,0.16604124637439271,0.004380470217682972
133,719.2391981725734,80.1409167897634,22.896619459128278,0.16604124637439271,0.004380470217682972
134,719.5391981725733,81.42435300157833,22.44047369569038,0.16735556406269886,0.004380470217682972
135,720.9391981725732,87.57799437232839,20.47750748554021,0.17348904147924396,0.004380462837214823
136,721.0391981725733,88.02789342174651,20.34773977893677,0.1739271466372006,0.004380462837214823
137,722.4391981725732,94.4714248631734,18.677210051084174,0.18006061347334262,0.004380455104060518
138,722.7391981725733,95.88738255176014,18.354749459408737,0.1813749266269553,0.004380455104060518
139,725.6391981725733,95.8880356808898,18.356291576242604,0.1810063498712927,-0.004631589449938873
140,725.9391981725732,94.47220564376148,18.679088577224885,0.17961668739485098,-0.004631589449938873
141,749.4442989895755,22.156857250111717,82.9446633157661,0.0980800323103158,-0.0023053730380259625
142,752.9442989895755,17.911736146326426,99.0975495526643,0.09001011104990413,-0.0023053730380259625
