NAME,INDEX,KEYWORD,S,L,X_BMAD,Z,PX,PZ,BETX_BMAD,BETY_BMAD,DX_BMAD,BETX_MADX,BETY_MADX,DX_MADX,X_MADX
QY2.2,48,Quadrupole,246.0503995604389,3.5,5.615062554559776e-10,-2.3475201793147735e-11,-3.473015177804862e-11,1.6402248869271484e-05,146.4907728871212,394.65676175958316,0.04448075121138043,146.55387013472915,402.12292377492804,0.04448625991815479,-3.905097774732279e-12
BC7.1,50,Sbend,278.17857075623044,31.828171195791,-1.0247913628802507e-12,-2.396305376350938e-11,3.591814448449562e-14,1.0647389681969178e-05,16.61330565669245,3082.227086285095,9.474543948414098e-07,16.59185168234532,3143.170867086182,1.0233325716119124e-06,-3.185456268497584e-13
SY2R.1,52,Sextupole,278.62857075623043,0.15,-1.0086281906571475e-12,-2.39629668812577e-11,3.591814448566836e-14,1.0647389681969178e-05,16.047298213871553,3137.9363358864402,1.0613585386442489e-06,16.02606245326386,3199.993727624974,1.0691816110070248e-06,-3.1383532440400035e-13
SY2R.2,54,Sextupole,278.7785707562304,0.15,-1.003240526348771e-12,-2.3962937920828405e-11,3.591814448682864e-14,1.0647389681969178e-05,15.866324194708616,3156.616786091435,1.099326165397061e-06,15.845167663088436,3219.0478287386945,1.084464624138575e-06,-3.12265223588725e-13
QA1.1,56,Quadrupole,281.9785707562304,2.9,-9.771252310398256e-13,-2.3962320098336733e-11,-2.5178211296728647e-14,1.0647389681969178e-05,15.558987840529765,2976.291528202744,2.0408220364824063e-06,15.536738057746787,3035.2423996981,1.5229642064330998e-06,-3.064991806535036e-13
QA2.1,58,Quadrupole,294.7340102257321,2.9,-1.1486897864729007e-12,-2.395985741165066e-11,7.690959036872564e-14,1.0647389681969178e-05,35.24603223706843,724.5514674543493,5.840251963659568e-06,35.22245427864142,739.1056602997306,3.4459095402405923e-06,-3.6869440373884403e-13
QA3.1,60,Quadrupole,310.7644676447472,2.9,8.248297913336373e-14,-2.3956762418792803e-11,7.639984913848499e-14,1.0647389681969178e-05,11.16320988003504,629.9026304102074,3.770747102650427e-06,11.17965896913605,642.9562682374118,1.768479875632213e-06,1.6268540814968428e-14
QA4.1,62,Quadrupole,330.826636236111,2.9,1.5720988542662263e-12,-2.395288902535926e-11,4.6059316107583997e-14,1.0647389681969178e-05,52.735508840688205,219.29788948449897,2.395247746751379e-06,52.72223132200203,224.1376507123353,2.8182933603979123e-07,4.792929772325837e-13
QA5.1,64,Quadrupole,340.3063786809216,2.9,2.0445401608627254e-12,-2.3951058775953746e-11,7.112183736925022e-14,1.0647389681969178e-05,76.66872190324749,155.52416326364622,1.3194458012689887e-06,76.61749628997356,159.11101083064298,-4.973686142031494e-07,6.277022617228086e-13
QA6.1,66,Quadrupole,351.5934190316062,2.9,2.6781365520474188e-12,-2.3948879592393426e-11,-4.580420781822137e-14,1.0647389681969178e-05,121.91959231034181,76.43295385631745,1.9229661608684597e-07,121.80564479950155,78.2983253511229,-1.3905106768265856e-06,8.259667377644866e-13
BS1.1,68,Sbend,380.4680925034961,28.57467347189,4.1990184940221553e-10,-2.426503442620742e-11,2.924905664932738e-11,6.098170890204263e-06,30.389437267796463,94.30503712317676,0.033021662539679225,30.346716524115443,96.295085843218,0.03302327950645212,-1.9357137523441824e-12
QS1.1,70,Quadrupole,382.5680925034962,1.8,4.906936407094957e-10,-2.4264802210902546e-11,3.989932185696144e-11,6.0981708902042615e-06,28.446396569877187,92.51257829846111,0.038612561026581206,28.407651428439273,94.41061398017526,0.0386144720154497,-2.3559462457109867e-12
